,序号,数据id,关联标题,客户名称,生产单号,订单编号,销售明细,关联标题.1,物料编号,名称,规格,计量单位,计划数量,预计开始时间,预计结束时间,工序,关联标题.2,首道工序机器编码,备注,实际开始时间,实际结束时间,生产状态,关联标题.3,班组名称,物料标题(隐藏),物料名称（隐藏）,当前日期（隐藏）,创建时间,创建者,创建人部门,审批单标题
306,307,S1d9vovZThC5Wmoq-YLRUA05971665282337,,,202210090633,,,F106电池盒安装支架成型模_,MJ.02.05255,F106电池盒安装支架成型模,,个,1,2022-10-09,2022-10-15,"J-出图,J-设计,J-下料,J-铣床,J-加工中心,J-淬火,J-线切割,J-装配",,,机加,2022-10-09,,进行中,,,,F106电池盒安装支架成型模_,2022-10-09,2022-10-09 10:25:37,周琳,后勤部,F106电池盒安装支架成型模_
307,308,IVXiFEXgQV2gov3yMrk3lg05971665280373,,,202210090632,,,双孔1.2mm（中控攻丝板两孔插销）_,防盗门.成品.01863,双孔1.2mm（中控攻丝板两孔插销）,,kg,3000,2022-10-10,2022-10-22,A-连续模出成品,,,A,2022-10-09,,进行中,,,,双孔1.2mm（中控攻丝板两孔插销）_,2022-10-09,2022-10-09 09:52:53,张倩,后勤部,双孔1.2mm（中控攻丝板两孔插销）_
308,309,etZaM5xYQuu7HeaEIz_Udg05971665277439,,,202210090629,,,小刀K11停车架大板左_,电瓶车-两轮.成品.04034,小刀K11停车架大板左,,个,900,4484-03-01,4484-04-01,"A-一次成型,A-单冲模-冲孔",,,A,2022-10-09,,进行中,A组,A组,,小刀K11停车架大板左_,2022-10-09,2022-10-09 09:03:59,杨萍,后勤部,小刀K11停车架大板左_
309,310,b67KSUOVQtS3-VGUnKJOIw05971665277439,,,202210090631,,,创市门芯包边_,电瓶车-三轮.成品.02480,创市门芯包边,,个,4750,4484-03-01,4484-06-01,"A-连续模下料,A-一次成型",,,A,2022-10-09,,进行中,A组,A组,,创市门芯包边_,2022-10-09,2022-10-09 09:03:59,杨萍,后勤部,创市门芯包边_
310,311,p6QP8SrbQ4GUuJJAxBrprA05971665277439,,,202210090630,,,小刀K11停车架大板右_,电瓶车-两轮.成品.04033,小刀K11停车架大板右,,个,900,4484-03-01,4484-04-01,"A-一次成型,A-单冲模-冲孔",,,A,2022-10-09,,进行中,A组,A组,,小刀K11停车架大板右_,2022-10-09,2022-10-09 09:03:59,杨萍,后勤部,小刀K11停车架大板右_
311,312,9-EPulcARz-J8XNq-W_8ow05971665277279,,,202210090627,,,小刀K11踏板边条左右_,电瓶车-两轮.成品.04031,小刀K11踏板边条左右,,个,1800,4484-03-01,4484-04-01,A-一次成型,,,A,2022-10-09,,进行中,A组,A组,,小刀K11踏板边条左右_,2022-10-09,2022-10-09 09:01:19,杨萍,后勤部,小刀K11踏板边条左右_
312,313,C6EqsZz7RKaY9VmRC5cbZg05971665277279,,,202210090628,,,小刀K11坐垫锁板_,电瓶车-两轮.成品.04035,小刀K11坐垫锁板,,个,900,4484-03-01,4484-04-01,"A-一次成型,A-二次成型",,,A,2022-10-09,,进行中,A组,A组,,小刀K11坐垫锁板_,2022-10-09,2022-10-09 09:01:19,杨萍,后勤部,小刀K11坐垫锁板_
313,314,E8Lvm9bZTaCtm9mf41DmpQ05971665277279,,,202210090626,,,小刀K11踏板前_,电瓶车-两轮.成品.04032,小刀K11踏板前,,个,900,4484-03-01,4484-04-01,A-一次成型,,,A,2022-10-09,,进行中,A组,A组,,小刀K11踏板前_,2022-10-09,2022-10-09 09:01:19,杨萍,后勤部,小刀K11踏板前_
314,315,c1u5PeQwQWG1vsOwS-XwJw05971665276910,,,202210090625,,,世纪雄风加强筋右（伊科）_,电瓶车-两轮.成品.03902,世纪雄风加强筋右（伊科）,,个,500,2022-10-09,2022-10-10,"B-激光切割,C-一次成型",,,B+C,2022-10-09,,进行中,,,,世纪雄风加强筋右（伊科）_,2022-10-09,2022-10-09 08:55:10,张倩,后勤部,世纪雄风加强筋右（伊科）_
315,316,YZivzvX6QkW65rys4OMG4A05971665276732,,,202210090624,,,瑞盛18#角片（攻丝）_,市场.成品.02881,瑞盛18#角片（攻丝）,,kg,1000,2022-10-10,2022-10-12,"A-连续模下料,A-攻丝",,,A,2022-10-09,,进行中,,,,瑞盛18#角片（攻丝）_,2022-10-09,2022-10-09 08:52:12,张倩,后勤部,瑞盛18#角片（攻丝）_
316,317,kK8_I2IsRS2znoGFIzRxug05971665275077,,,202210090623,,,后门铰链返工工装_,MJ.02.05251,后门铰链返工工装,,个,1,2022-10-09,2022-10-09,"J-出图,J-设计,J-下料,J-铣床,J-加工中心,J-淬火,J-线切割,J-装配",,,机加,2022-10-09,,进行中,,,,后门铰链返工工装_,2022-10-09,2022-10-09 08:24:37,周琳,后勤部,后门铰链返工工装_
317,318,Ulbx5Jk1Qeikf8oOpjWmHw05971665214518,,,202210080622,,,定位套ø28*20.7_ø28*20.7,万控.成品.00412,定位套ø28*20.7,ø28*20.7,个,300000,2022-10-08,2022-10-11,"E-切料,E-倒角,E-冲筋",,,E,2022-10-09,,进行中,,,,定位套ø28*20.7_ø28*20.7,2022-10-08,2022-10-08 15:35:18,马清伟,机加车间,定位套ø28*20.7_ø28*20.7
318,319,1nsp1TqHTTeUZ7YtKg3tHg05971665214470,,,202210080621,,,定位套ø21*33.2_ø21*33.2,万控.成品.00410,定位套ø21*33.2,ø21*33.2,个,300000,2022-10-08,2022-10-11,"E-切料,E-倒角,E-冲筋,E-冲缺",,,E,2022-10-09,,进行中,,,,定位套ø21*33.2_ø21*33.2,2022-10-08,2022-10-08 15:34:30,马清伟,机加车间,定位套ø21*33.2_ø21*33.2
319,320,wezE35TcSlidb9nAq-CnzA05971665210700,,,202210080619,,,伊科门芯加强筋新式_,电瓶车-两轮.成品.04116,伊科门芯加强筋新式,,个,12000,2022-10-08,2022-10-11,"D-连续模下料,A-一次成型",,,D+C,2022-10-09,,进行中,,,,伊科门芯加强筋新式_,2022-10-08,2022-10-08 14:31:44,杨萍,后勤部,伊科门芯加强筋新式_
320,321,mVoSS1C2RpmaSHkeDenniw05971665210702,,,202210080620,,,伊科门芯加强筋新式_,电瓶车-两轮.成品.04116,伊科门芯加强筋新式,,个,12000,2022-10-08,2022-10-11,"D-连续模下料,A-一次成型",,,D+C,2022-10-08,,进行中,,,,伊科门芯加强筋新式_,2022-10-08,2022-10-08 14:31:42,杨萍,后勤部,伊科门芯加强筋新式_
321,322,VvWpjd3-RPCSS_xU8nPxaA05971665198551,,,202210080618,,,M6丝板冲孔模_,MJ.02.05249,M6丝板冲孔模,,个,1,2022-10-08,2022-10-31,"J-出图,J-设计,J-下料,J-铣床,J-加工中心,J-淬火,J-线切割,J-装配",,,机加,2022-10-08,,进行中,,,,M6丝板冲孔模_,2022-10-08,2022-10-08 11:09:11,周琳,后勤部,M6丝板冲孔模_
322,323,lZoVVX4wSMioC4ciZonwww05971665198515,,,202210080617,,,小赛诺平叉护板后连续模_,MJ.02.05248,小赛诺平叉护板后连续模,,个,1,2022-10-08,2022-10-31,"J-出图,J-设计,J-下料,J-铣床,J-加工中心,J-淬火,J-线切割,J-装配",,,机加,2022-10-08,,进行中,,,,小赛诺平叉护板后连续模_,2022-10-08,2022-10-08 11:08:35,周琳,后勤部,小赛诺平叉护板后连续模_
323,324,sNwl7rbaQ_2iUHo-UjbaSQ05971665198479,,,202210080616,,,博威双撑缓冲块连续模_,MJ.02.05247,博威双撑缓冲块连续模,,个,1,2022-10-08,2022-10-31,"J-出图,J-设计,J-下料,J-铣床,J-加工中心,J-淬火,J-线切割,J-装配",,,机加,2022-10-08,,进行中,,,,博威双撑缓冲块连续模_,2022-10-08,2022-10-08 11:07:59,周琳,后勤部,博威双撑缓冲块连续模_
324,325,S1rRuLQ_SlS49Ob93l5bwA05971665198054,,,202210080614,,,Q312-搁脚支架左_,电瓶车-两轮.成品.04578,Q312-搁脚支架左,,个,300,2022-10-08,2022-10-09,"C-单冲模-落料,C-一次成型",,,C,2022-10-08,,进行中,C组,C组,,Q312-搁脚支架左_,2022-10-08,2022-10-08 11:00:54,杨萍,后勤部,Q312-搁脚支架左_
325,326,m1cX31qNSSKJ5btlvhhCoQ05971665198054,,,202210080615,,,Q312-搁脚支架右_,电瓶车-两轮.成品.04577,Q312-搁脚支架右,,个,300,2022-10-08,2022-10-09,"C-单冲模-落料,C-一次成型",,,C,2022-10-08,,进行中,C组,C组,,Q312-搁脚支架右_,2022-10-08,2022-10-08 11:00:54,杨萍,后勤部,Q312-搁脚支架右_
326,327,p1IffCuhSK6EgDGHvG9QxA05971665197920,,,202210080605,,,车底右裙边/福将150S_,电瓶车-三轮.成品.02705,车底右裙边/福将150S,,个,500,2022-10-08,2022-10-09,"B-唐宇下料,B-切角一次,B-单冲模-冲孔,B-一次折弯,B-二次折弯,B-压型三次",,,B,2022-10-08,,进行中,B组,B组,,车底右裙边/福将150S_,2022-10-08,2022-10-08 10:58:40,杨萍,后勤部,车底右裙边/福将150S_
327,328,5sI06tsBS96UceSBzQAddw05971665197920,,,202210080603,,,博威双撑缓冲块支架_,电瓶车-两轮.成品.03404,博威双撑缓冲块支架,,个,1000,2022-10-08,2022-10-09,"B-激光切割,C-一次成型",,,B+C,2022-10-08,,进行中,B组,B组,,博威双撑缓冲块支架_,2022-10-08,2022-10-08 10:58:40,杨萍,后勤部,博威双撑缓冲块支架_
328,329,Ts5fM6PLS_2ja1acOzbgEg05971665197920,,,202210080609,,,车底后裙边/暴龙130_,电瓶车-三轮.成品.02784,车底后裙边/暴龙130,,个,300,2022-10-08,2022-10-09,"B-唐宇下料,B-切角两次,B-一次折弯,B-二次折弯,B-压型两次",,,B,2022-10-08,,进行中,B组,B组,,车底后裙边/暴龙130_,2022-10-08,2022-10-08 10:58:40,杨萍,后勤部,车底后裙边/暴龙130_
329,330,er109c87QwWJ9HM0exKQpg05971665197920,,,202210080611,,,西米平叉护板右_,电瓶车-两轮.成品.04013,西米平叉护板右,,个,8000,2022-10-08,2022-10-09,"A-单冲模-落料,A-攻丝,A-一次成型",,,A,2022-10-08,,进行中,A组,A组,,西米平叉护板右_,2022-10-08,2022-10-08 10:58:40,杨萍,后勤部,西米平叉护板右_
330,331,mCAZc_BmQ8-aErB4g8qPcg05971665197920,,,202210080607,,,左裙边/荣耀130_,电瓶车-三轮.成品.02688,左裙边/荣耀130,,个,300,2022-10-08,2022-10-09,"B-唐宇下料,B-切角一次,B-单冲模-冲孔,B-一次折弯,B-二次折弯,B-压型两次",,,B,2022-10-08,,进行中,B组,B组,,左裙边/荣耀130_,2022-10-08,2022-10-08 10:58:40,杨萍,后勤部,左裙边/荣耀130_
331,332,vX1YCekEQZeloFtBg1W5iw05971665197920,,,202210080604,,,车底左裙边/福将150S_,电瓶车-三轮.成品.02704,车底左裙边/福将150S,,个,500,2022-10-08,2022-10-09,"B-唐宇下料,B-切角一次,B-单冲模-冲孔,B-一次折弯,B-二次折弯,B-压型三次",,,B,2022-10-08,,进行中,B组,B组,,车底左裙边/福将150S_,2022-10-08,2022-10-08 10:58:40,杨萍,后勤部,车底左裙边/福将150S_
332,333,o-Uipq5XQPq-UZG9JxWrWA05971665197920,,,202210080610,,,西米平叉护板左_,电瓶车-两轮.成品.04014,西米平叉护板左,,个,8000,2022-10-08,2022-10-09,"A-单冲模-落料,A-攻丝,A-一次成型",,,A,2022-10-08,,进行中,A组,A组,,西米平叉护板左_,2022-10-08,2022-10-08 10:58:40,杨萍,后勤部,西米平叉护板左_
333,334,rLqhKz61Q3yJInJms9yVhQ05971665197920,,,202210080606,,,车底后裙边/福将150S_,电瓶车-三轮.成品.02703,车底后裙边/福将150S,,个,500,2022-10-08,2022-10-09,"B-唐宇下料,B-切角两次,B-一次折弯,B-二次折弯,B-压型两次",,,B,2022-10-08,,进行中,B组,B组,,车底后裙边/福将150S_,2022-10-08,2022-10-08 10:58:40,杨萍,后勤部,车底后裙边/福将150S_
334,335,YiiKjAZKRlCk4EqkN_Y9Ww05971665197920,,,202210080608,,,右裙边/荣耀130_,电瓶车-三轮.成品.02690,右裙边/荣耀130,,个,300,2022-10-08,2022-10-09,"B-唐宇下料,B-切角一次,B-单冲模-冲孔,B-一次折弯,B-二次折弯,B-压型两次",,,B,2022-10-08,,进行中,B组,B组,,右裙边/荣耀130_,2022-10-08,2022-10-08 10:58:40,杨萍,后勤部,右裙边/荣耀130_
335,336,Jtjgjm3fQ_aPsWxGC0QSAw05971665197920,,,202210080612,,,铃智内泥板左_,电瓶车-两轮.成品.03671,铃智内泥板左,,个,5000,2022-10-08,2022-10-09,"D-连续模下料,C-攻丝,C-一次成型",,,D+C,2022-10-08,,进行中,D组,D组,,铃智内泥板左_,2022-10-13,2022-10-08 10:58:40,杨萍,后勤部,铃智内泥板左_
336,337,OKHP61QBQ6K6oATujYdoBA05971665197920,,,202210080613,,,铃智内泥板右_,电瓶车-两轮.成品.03670,铃智内泥板右,,个,5000,2022-10-08,2022-10-09,"D-连续模下料,C-攻丝,C-一次成型",,,D+C,2022-10-08,,进行中,D组,D组,,铃智内泥板右_,2022-10-13,2022-10-08 10:58:40,杨萍,后勤部,铃智内泥板右_
337,338,xmmPSc8pRZyrloVAOul0lg05971665196166,,,202210080602,,,M5导流支架_,电瓶车-两轮.成品.03369,M5导流支架,,个,5000,2022-10-08,2022-10-19,"D-连续模下料,C-一次成型,C-二次成型,C-攻丝",,,D+C,2022-10-08,,进行中,,,,M5导流支架_,2022-10-08,2022-10-08 10:29:26,杨萍,后勤部,M5导流支架_
338,339,rEFxB1zuTvebo3phlvIwzg05971665132983,,,202210070601,,,新疆木质铰链门扇左右_,防盗门.成品.02199,新疆木质铰链门扇左右,,个,20000,2022-10-07,2022-10-10,"D-连续模下料,A-划孔,A-焊帽子,A-镀锌,A-压轴,A-装配",,,D+A,2022-10-07,,进行中,,,,新疆木质铰链门扇左右_,2022-10-07,2022-10-07 16:56:23,张倩,后勤部,新疆木质铰链门扇左右_
339,340,eWlzWcjkTaqAvBMSEvPUpA05971665132947,,,202210070600,,,新疆木质铰链门框左右_,防盗门.成品.02197,新疆木质铰链门框左右,,个,20000,2022-10-07,2022-10-10,"D-连续模下料,A-划孔,A-焊帽子,A-镀锌,A-压轴,A-装配",,,D+A,2022-10-07,,进行中,,,,新疆木质铰链门框左右_,2022-10-07,2022-10-07 16:55:47,张倩,后勤部,新疆木质铰链门框左右_
340,341,BdA27LnHT4-iZzV61kRhHQ05971665132652,,,202210070599,,,小刀K11座桶支架_,电瓶车-两轮.成品.04036,小刀K11座桶支架,,个,900,2022-10-07,2022-10-09,"B-激光切割,C-一次成型",,,B+C,2022-10-07,2022-10-07,已结束,,,,小刀K11座桶支架_,2022-10-07,2022-10-07 16:50:52,杨萍,后勤部,小刀K11座桶支架_
341,342,tdATNL_HQ0mYio8rMlaKfg05971665130617,,,202210070598,,,平板2.0_,市场.成品.02865,平板2.0,,kg,5000,2022-10-08,2022-10-20,C-单冲模-落料,,,C,2022-10-07,,进行中,,,,平板2.0_,2022-10-07,2022-10-07 16:16:57,张倩,后勤部,平板2.0_
342,343,AUq_CpsQRuCyXPXIvq_qpQ05971665126932,,,202210070597,,,600座桶_,电瓶车-两轮.成品.03239,600座桶,,个,300,2022-10-07,2022-10-09,"B-唐宇下料,B-切角两次,B-一次成型,B-一次冲孔,B-二次冲孔,B-两次成型",,,B,2022-10-07,,进行中,B组,B组,,600座桶_,2022-10-13,2022-10-07 15:15:32,杨萍,后勤部,600座桶_
343,344,kJuna9eCRpqdaRiifAS1ZA05971665126932,,,202210070596,,,650座桶_,电瓶车-两轮.成品.03248,650座桶,,个,300,2022-10-07,2022-10-09,"B-唐宇下料,B-切角两次,B-一次成型,B-一次冲孔,B-二次冲孔,B-两次成型",,,B,2022-10-07,,进行中,B组,B组,,650座桶_,2022-10-13,2022-10-07 15:15:32,杨萍,后勤部,650座桶_
344,345,EJfm9yypQ0y3dJNs4tk1rw05971665125039,,,202210070595,,,主梁管打码牌_,电瓶车-两轮.成品.04191,主梁管打码牌,,个,120,2022-10-07,2022-10-08,"C-唐宇下料,C-一次成型",,,C,2022-10-07,,进行中,,,,主梁管打码牌_,2022-10-07,2022-10-07 14:43:59,杨萍,后勤部,主梁管打码牌_
345,346,51vcgIXPQWKbsnyG6I0fgg05971665119229,,,202210070594,,,宝发挂件大2.5_,市场.成品.02934,宝发挂件大2.5,,个,11000,2022-10-08,2022-10-10,D-连续模出成品,,,D,2022-10-07,,进行中,,,,宝发挂件大2.5_,2022-10-07,2022-10-07 13:07:09,张倩,后勤部,宝发挂件大2.5_
346,347,5i4YCOwwSV-2DQzAe76NyA05971665108564,,,202210070593,,,爪爪2.0_,市场.成品.02864,爪爪2.0,,kg,5000,2022-10-07,2022-10-12,D-连续模出成品,,,D,2022-10-07,,进行中,,,,爪爪2.0_,2022-10-07,2022-10-07 10:09:24,张倩,后勤部,爪爪2.0_
347,348,ynf1Ye5nQX2sgeSz13IHHQ05971665106145,,,202210070592,,,DQ1-压条支架_,电瓶车-两轮.成品.04283,DQ1-压条支架,,个,6500,2022-10-07,2022-10-11,"D-连续模下料,C-一次成型",,,D+C,2022-10-07,,进行中,,,,DQ1-压条支架_,2022-10-07,2022-10-07 09:29:05,杨萍,后勤部,DQ1-压条支架_
348,349,A0yP0Ym_RvKlqp_15KHCag05971665106080,,,202210070591,,,DQ1-500W搁脚连接安装座右_,电瓶车-两轮.成品.04242,DQ1-500W搁脚连接安装座右,,个,3500,2022-10-07,2022-10-12,D-连续模出成品,,,D,2022-10-07,,进行中,,,,DQ1-500W搁脚连接安装座右_,2022-10-07,2022-10-07 09:28:00,杨萍,后勤部,DQ1-500W搁脚连接安装座右_
349,350,YZWFGCoATlusd51JQgknjg05971665106039,,,202210070590,,,DQ1-500W搁脚连接安装座左_,电瓶车-两轮.成品.04243,DQ1-500W搁脚连接安装座左,,个,3500,2022-10-07,2022-10-12,D-连续模出成品,,,D,2022-10-07,,进行中,,,,DQ1-500W搁脚连接安装座左_,2022-10-07,2022-10-07 09:27:19,杨萍,后勤部,DQ1-500W搁脚连接安装座左_
350,351,Nyvzmm06QwC0jgLKQ70tgw05971665104295,,,202210070587,,,爪爪2.0_,市场.成品.02864,爪爪2.0,,kg,3000,2022-10-07,2022-10-12,C-一次成型,,,C,2022-10-07,,进行中,,,,爪爪2.0_,2022-10-07,2022-10-07 08:58:15,张倩,后勤部,爪爪2.0_
351,352,3HDx46YQQ5ScZzZXN5xngg05971665103472,,,202210070567,,,Q1-后衣架后安装支架_,电瓶车-两轮.成品.04540,Q1-后衣架后安装支架,,个,8000,2022-10-07,2022-10-09,D-连续模出成品,,,D,2022-10-07,,进行中,D组,D组,,Q1-后衣架后安装支架_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,Q1-后衣架后安装支架_
352,353,cL6gEwCqRXeNXkC5Zr0Cxg05971665103472,,,202210070548,,,Q1-挂钩支架_,电瓶车-两轮.成品.04535,Q1-挂钩支架,,个,1000,2022-10-07,2022-10-09,D-连续模出成品,,,D,2022-10-07,,进行中,D组,D组,,Q1-挂钩支架_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,Q1-挂钩支架_
353,354,InC4U-veQmuVb1L0ILyZaA05971665103472,,,202210070541,,,政宇五羊连体脚蹬右_,SL.03.05222,政宇五羊连体脚蹬右,,个,500,2022-10-07,2022-10-09,"A-单冲模-落料,A-一次成型,A-二次成型",,,A,2022-10-07,,进行中,A组,A组,,政宇五羊连体脚蹬右_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,政宇五羊连体脚蹬右_
354,355,ydJQlmeFQJevceblZXDMag05971665103472,,,202210070580,,,A707-货架支架右_,电瓶车-两轮.成品.04214,A707-货架支架右,,个,2000,2022-10-07,2022-10-09,"B-激光切割,C-一次成型",,,B+C,2022-10-07,,进行中,B组,B组,,A707-货架支架右_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,A707-货架支架右_
355,356,SOhml_-JQFikYshGUNf36g05971665103472,,,202210070555,,,Q1-电池盒托条_,电瓶车-两轮.成品.04531,Q1-电池盒托条,,个,2000,2022-10-07,2022-10-09,"D-连续模下料,C-一次成型",,,D+C,2022-10-07,,进行中,D组,D组,,Q1-电池盒托条_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,Q1-电池盒托条_
356,357,RifMB40bSJeSkkrI6hmsZQ05971665103472,,,202210070549,,,Q1-电门锁支架_,电瓶车-两轮.成品.04534,Q1-电门锁支架,,个,1000,2022-10-07,2022-10-09,"D-连续模下料,C-攻丝,C-一次成型",,,D+C,2022-10-07,,进行中,D组,D组,,Q1-电门锁支架_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,Q1-电门锁支架_
357,358,GBrQqHIvRROo_vytjcxn1w05971665103472,,,202210070566,,,Q1-后衣架前右_,电瓶车-两轮.成品.04542,Q1-后衣架前右,,个,1000,2022-10-07,2022-10-09,"D-连续模下料,C-一次成型",,,D+C,2022-10-07,,进行中,D组,D组,,Q1-后衣架前右_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,Q1-后衣架前右_
358,359,v0dODa1DT9mPWZQCcLlJrg05971665103472,,,202210070574,,,Q1/6020-平叉吊耳左_,电瓶车-两轮.成品.04495,Q1/6020-平叉吊耳左,,个,1000,2022-10-07,2022-10-09,"C-单冲模-落料,C-一次成型",,,C,2022-10-07,,进行中,C组,C组,,Q1/6020-平叉吊耳左_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,Q1/6020-平叉吊耳左_
359,360,nkHrHD0qQWeY0Z0a5qreAw05971665103472,,,202210070585,,,A707-搁脚支架左_,LL.03.05233,A707-搁脚支架左,,个,2000,2022-10-07,2022-10-09,"B-激光切割,C-一次成型",,,B+C,2022-10-07,,进行中,B组,B组,,A707-搁脚支架左_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,A707-搁脚支架左_
360,361,ywcbq2R7SNWhyXU22pp-KQ05971665103472,,,202210070571,,,Q1-电池压条_,电瓶车-两轮.成品.04532,Q1-电池压条,,个,2000,2022-10-07,2022-10-09,"D-连续模下料,C-一次成型",,,D+C,2022-10-07,,进行中,D组,D组,,Q1-电池压条_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,Q1-电池压条_
361,362,NU7JIC2VRkCIXL2mmHQZmg05971665103472,,,202210070581,,,A808-后泥板支架_,电瓶车-两轮.成品.04227,A808-后泥板支架,,个,2000,2022-10-07,2022-10-09,D-连续模出成品,,,D,2022-10-07,,进行中,D组,D组,,A808-后泥板支架_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,A808-后泥板支架_
362,363,mCx39eFGS3afCxzF4meArg05971665103472,,,202210070561,,,Q1-中接板左_,电瓶车-两轮.成品.04562,Q1-中接板左,,个,1000,2022-10-07,2022-10-09,"C-单冲模-落料,C-一次成型,C-单冲模-冲孔",,,C,2022-10-07,,进行中,C组,C组,,Q1-中接板左_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,Q1-中接板左_
363,364,-NhkOmHvTni50DF2qb4CDg05971665103472,,,202210070546,,,牛3压条支架_,电瓶车-两轮.成品.03766,牛3压条支架,,个,2000,2022-10-07,2022-10-09,"C-单冲模-落料,C-一次成型",,,C,2022-10-07,,进行中,C组,C组,,牛3压条支架_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,牛3压条支架_
364,365,Mps7DRVfSfuA_4PJBXaf3w05971665103472,,,202210070544,,,政宇圆弧三角左_,电瓶车-三轮.成品.02495,政宇圆弧三角左,,个,500,2022-10-07,2022-10-09,"C-单冲模-落料,C-一次成型",,,C,2022-10-07,,进行中,C组,C组,,政宇圆弧三角左_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,政宇圆弧三角左_
365,366,M56_y1HdQX-3IOuHobO2MA05971665103472,,,202210070572,,,Q1-双撑缓冲垫支架_,电瓶车-两轮.成品.04556,Q1-双撑缓冲垫支架,,个,1000,2022-10-07,2022-10-09,D-连续模出成品,,,D,2022-10-07,,进行中,D组,D组,,Q1-双撑缓冲垫支架_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,Q1-双撑缓冲垫支架_
366,367,MeSh68dETZiKzluLvHpL3Q05971665103472,,,202210070582,,,A808-单撑板_,LL.03.05160,A808-单撑板,,个,2000,2022-10-07,2022-10-09,C-单冲模-落料,,,C,2022-10-07,,进行中,C组,C组,,A808-单撑板_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,A808-单撑板_
367,368,w-YncaPgRTS3nx8i4PM7iw05971665103472,,,202210070586,,,A707-搁脚支架右_,LL.03.05234,A707-搁脚支架右,,个,2000,2022-10-07,2022-10-09,"B-激光切割,C-一次成型",,,B+C,2022-10-07,,进行中,B组,B组,,A707-搁脚支架右_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,A707-搁脚支架右_
368,369,eJjyO6tETUyxW6SFSghMVg05971665103472,,,202210070562,,,Q1-中接板右_,电瓶车-两轮.成品.04561,Q1-中接板右,,个,1000,2022-10-07,2022-10-09,"C-单冲模-落料,C-一次成型,C-单冲模-冲孔",,,C,2022-10-07,,进行中,C组,C组,,Q1-中接板右_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,Q1-中接板右_
369,370,smFVTa0CRfqWvgQnPvhowQ05971665103472,,,202210070563,,,Q1-后电池盒安装支架左_,电瓶车-两轮.成品.04537,Q1-后电池盒安装支架左,,个,1000,2022-10-07,2022-10-09,"D-连续模下料,C-攻丝",,,D+C,2022-10-07,,进行中,D组,D组,,Q1-后电池盒安装支架左_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,Q1-后电池盒安装支架左_
370,371,xOZkiUCBTR2UlShMMO0gXA05971665103472,,,202210070540,,,政宇五羊连体脚蹬左_,电瓶车-三轮.成品.02493,政宇五羊连体脚蹬左,,个,500,2022-10-07,2022-10-09,"A-单冲模-落料,A-一次成型,A-二次成型",,,A,2022-10-07,,进行中,A组,A组,,政宇五羊连体脚蹬左_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,政宇五羊连体脚蹬左_
371,372,QtRbvcElTzG0BH0Ed-kpSg05971665103472,,,202210070559,,,Q1-座桶支架_,电瓶车-两轮.成品.04565,Q1-座桶支架,,个,1000,2022-10-07,2022-10-09,"D-连续模下料,C-一次成型",,,D+C,2022-10-07,,进行中,D组,D组,,Q1-座桶支架_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,Q1-座桶支架_
372,373,AqYK-bQgRoCWFlo0Wg8Utw05971665103472,,,202210070553,,,Q1-前电池盒安装支架左右_,电瓶车-两轮.成品.04555,Q1-前电池盒安装支架左右,,个,2000,2022-10-07,2022-10-09,D-连续模出成品,,,D,2022-10-07,,进行中,D组,D组,,Q1-前电池盒安装支架左右_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,Q1-前电池盒安装支架左右_
373,374,0l1v7Ex3Rs-rZhE9G42BUA05971665103472,,,202210070542,,,政宇刀把泥瓦左_,电瓶车-三轮.成品.02494,政宇刀把泥瓦左,,个,1000,2022-10-07,2022-10-09,"C-单冲模-落料,C-一次成型,C-二次成型",,,C,2022-10-07,,进行中,C组,C组,,政宇刀把泥瓦左_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,政宇刀把泥瓦左_
374,375,--AGtfB5S7eWgYeRNVW1LQ05971665103472,,,202210070547,,,通用喇叭头新（天鹰喇叭头）_,电瓶车-两轮.成品.03962,通用喇叭头新（天鹰喇叭头）,,个,600,2022-10-07,2022-10-09,"C-单冲模-落料,C-一次成型",,,C,2022-10-07,,进行中,C组,C组,,通用喇叭头新（天鹰喇叭头）_,2022-10-07,2022-10-07 08:44:32,马清伟,机加车间,通用喇叭头新（天鹰喇叭头）_
